IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,43294,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:46.792-08:00,2026-01-04T08:13:46.965-08:00
6,10.215.173.1,43304,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.051-08:00,2026-01-04T08:13:47.251-08:00
6,10.215.173.1,43318,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.056-08:00,2026-01-04T08:13:47.243-08:00
6,10.215.173.1,43330,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.151-08:00,2026-01-04T08:13:47.309-08:00
6,10.215.173.1,43346,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.154-08:00,2026-01-04T08:13:47.316-08:00
6,10.215.173.1,43356,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.177-08:00,2026-01-04T08:13:47.331-08:00
6,10.215.173.1,43366,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.178-08:00,2026-01-04T08:13:47.329-08:00
6,10.215.173.1,43378,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.182-08:00,2026-01-04T08:13:47.338-08:00
6,10.215.173.1,43394,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.185-08:00,2026-01-04T08:13:47.340-08:00
6,10.215.173.1,43402,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.186-08:00,2026-01-04T08:13:47.348-08:00
6,10.215.173.1,43410,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.187-08:00,2026-01-04T08:13:47.354-08:00
